Kudos Date,Kudos Type,Parent ID
"Mar 30, 2020, 12:52:23 AM",Activity,3233364032
"Mar 30, 2020, 12:52:50 AM",Activity,3229664642
"Apr 2, 2020, 4:59:28 PM",Activity,3246439211
"Apr 4, 2020, 6:13:41 PM",Activity,3251211041
"Apr 7, 2020, 1:31:52 PM",Activity,3266125105
"Apr 9, 2020, 2:10:42 AM",Activity,3273673699
"Apr 10, 2020, 10:43:16 PM",Activity,3277310447
"Apr 11, 2020, 1:12:14 PM",Activity,3282139535
"Apr 11, 2020, 8:50:43 PM",Activity,3286138801
"Apr 12, 2020, 4:10:54 PM",Activity,3289771921
"Apr 12, 2020, 4:45:42 PM",Activity,3289997593
"Apr 14, 2020, 6:46:51 PM",Activity,3291784644
"Apr 15, 2020, 12:18:16 AM",Activity,3300188143
"Apr 16, 2020, 1:13:59 AM",Activity,3304916661
"Apr 17, 2020, 12:48:08 AM",Activity,3309083557
"Apr 17, 2020, 12:48:57 AM",Activity,3309680811
"Apr 18, 2020, 5:03:52 PM",Activity,3313819557
"Apr 18, 2020, 8:21:46 PM",Activity,3318078785
"Apr 18, 2020, 8:21:51 PM",Activity,3317621526
"Apr 19, 2020, 10:25:05 PM",Activity,3323819106
"Apr 21, 2020, 3:06:21 AM",Activity,3328592030
"Apr 21, 2020, 3:26:41 PM",Activity,3330377307
"Apr 22, 2020, 4:21:56 PM",Activity,3333561140
"Apr 23, 2020, 12:05:33 AM",Activity,3338478209
"Apr 23, 2020, 12:05:37 AM",Activity,3338537122
"Apr 25, 2020, 2:07:49 AM",Activity,3348230058
"Apr 25, 2020, 2:08:05 AM",Activity,3348138800
"Apr 25, 2020, 4:11:00 PM",Activity,3350950931
"Apr 27, 2020, 1:07:04 PM",Activity,3358737034
"Apr 30, 2020, 3:43:21 AM",Activity,3372973454
"May 1, 2020, 1:29:19 PM",Activity,3377853027
"May 1, 2020, 1:29:40 PM",Activity,3377550619
"May 1, 2020, 7:19:55 PM",Activity,3380815428
"May 3, 2020, 2:22:58 AM",Activity,3387104780
"May 3, 2020, 2:23:03 AM",Activity,3388398777
"May 6, 2020, 12:42:34 PM",Activity,3404099306
"May 6, 2020, 11:49:57 PM",Activity,3410658401
"May 7, 2020, 11:39:58 AM",Activity,3406761853
"May 14, 2020, 1:57:18 PM",Activity,3438685585
"May 15, 2020, 4:27:50 AM",Activity,3452603068
"May 15, 2020, 1:29:07 PM",Activity,3454648871
"May 18, 2020, 12:24:29 PM",Activity,3471081185
"May 31, 2020, 9:09:06 PM",Activity,3542308909
"Jun 2, 2020, 1:54:32 PM",Activity,3552234872
"Jun 2, 2020, 1:55:02 PM",Activity,3546880620
"Jun 6, 2020, 3:16:38 PM",Activity,3572441839
"Jun 7, 2020, 10:53:18 PM",Activity,3578926057
"Jun 7, 2020, 10:53:34 PM",Activity,3578169096
"Jun 11, 2020, 1:02:02 PM",Activity,3597291127
"Jun 14, 2020, 4:17:26 PM",Activity,3613973637
"Jun 14, 2020, 4:18:32 PM",Activity,3614269924
"Jun 14, 2020, 4:18:48 PM",Activity,3605378449
"Jun 16, 2020, 3:56:39 PM",Activity,3623348983
"Jul 5, 2020, 12:23:42 PM",Activity,3709960222
"Jul 7, 2020, 12:50:04 PM",Activity,3726404455
"Jul 12, 2020, 11:07:36 PM",Activity,3753618661
"Jul 14, 2020, 2:39:55 AM",Activity,3758775328
"Jul 14, 2020, 12:09:34 PM",Activity,3760291652
"Jul 16, 2020, 2:33:13 AM",Activity,3768832022
"Jul 18, 2020, 4:59:43 PM",Activity,3781141287
"Jul 26, 2020, 6:19:32 PM",Activity,3811035643
"Jul 26, 2020, 6:19:42 PM",Activity,3811197820
"Jul 30, 2020, 1:57:36 AM",Activity,3835783305
"Jul 30, 2020, 1:58:05 AM",Activity,3830394076
"Aug 8, 2020, 3:26:43 PM",Activity,3883167658
"Aug 8, 2020, 3:27:06 PM",Activity,3878383941
"Aug 21, 2020, 10:47:04 PM",Activity,3943266107
"Sep 2, 2020, 8:24:46 PM",Activity,4001636047
"Sep 7, 2020, 11:36:14 PM",Activity,4026107091
"Sep 17, 2020, 11:40:20 PM",Activity,4074779100
"Sep 20, 2020, 3:33:24 AM",Activity,4076191378
"Sep 22, 2020, 2:31:26 AM",Activity,4093969180
"Sep 22, 2020, 2:32:42 AM",Activity,4093327078
"Oct 2, 2020, 6:48:36 PM",Activity,4142322274
"Oct 12, 2020, 12:13:20 PM",Activity,4183397577
"Oct 14, 2020, 4:12:52 AM",Activity,4191366829
